CustID,TotalOrders,TotalReturns,AOV,ARV,AccountAge,Rwinabuse,Rhighvalueabuse,Rcycle,Rcategory,Rvague,Rdiversity,Rconsistency,FraudScore,RawFraudScore
CUST000001,109,48,59.13505172729492,71.17666625976562,1393,0,9,10,17,25,14,34,81.94077194639847,27.76544603940186
CUST000002,100,0,68.11620330810547,0.0,1368,0,0,0,0,0,0,0,0.0,0.0
CUST000003,85,28,74.68412017822266,97.10892486572266,227,1,6,3,17,18,13,15,74.30522473632158,25.178158062893928
CUST000004,99,24,57.2845458984375,40.89916610717773,730,0,2,4,12,15,12,12,63.73526780425585,21.596551960524618
CUST000005,91,37,77.51856231689453,91.36270141601562,923,1,4,8,15,17,13,24,76.80182657663141,26.02412597401318
CUST000006,92,54,89.74031829833984,89.13723754882812,1626,3,10,7,19,28,13,41,88.69741515946352,30.054919375857217
CUST000007,113,24,89.55008697509766,72.20166778564453,1634,2,4,0,15,11,11,13,64.8682046422066,21.980445056634935
CUST000008,92,33,64.06619262695312,92.27819061279295,1112,0,9,4,16,12,11,22,73.1116479032745,24.773717241009464
CUST000009,98,57,70.05897521972656,76.7661361694336,1038,7,11,9,20,30,15,42,93.79930628421067,31.783683693768875
CUST000010,83,23,75.18047332763672,121.130859375,1350,1,8,4,14,10,10,13,71.59928696314293,24.261257142356854
CUST000011,86,5,86.674072265625,10.723999977111816,436,1,0,0,5,1,5,0,25.294583297301088,8.571012585648916
CUST000012,98,39,59.15102005004883,74.11896514892578,1579,0,8,5,18,16,13,26,76.0857660832654,25.78149048843944
CUST000013,115,42,81.33496856689453,50.676902770996094,283,2,3,6,18,19,15,27,77.94172873983928,26.41037925490062
CUST000014,94,32,88.45053100585938,55.58094024658203,1592,2,4,8,14,16,12,20,76.22575017345964,25.828923782150728
CUST000015,118,1,93.84109497070312,22.920000076293945,793,0,0,0,1,0,1,0,6.687479997229562,2.2660375365284544
CUST000016,115,44,78.18878173828125,45.44999694824219,1979,2,4,10,17,16,12,32,79.33173765767806,26.88138064634207
CUST000017,112,63,67.99427795410156,86.71778869628906,1586,3,10,12,19,30,12,51,91.13432026232309,30.880659181931428
CUST000018,80,38,110.0685043334961,101.62551879882812,467,4,8,6,18,19,12,26,83.8723416635607,28.41995408807259
CUST000019,113,12,72.93566131591797,40.12083435058594,1365,1,1,0,9,3,5,7,44.690456082698915,15.14326039852465
CUST000020,85,10,66.07905578613281,63.88399505615234,1194,0,2,1,8,7,6,4,48.34037978937929,16.380028826726182
CUST000021,89,11,75.21280670166016,120.5199966430664,200,1,3,0,10,8,9,2,52.07117987922003,17.644202035224026
